증권종류,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
코스닥,  레몬 ,294140,화학섬유 제조업,"EMI Shield Can, 나노멤브레인 등",2020-02-28,12월,김광진,http://www.lemonano.co.kr,경상북도
코스닥,  서남 ,294630,기타 전기장비 제조업,고온초전도선재,2020-02-20,12월,문승현,http://www.i-sunam.com,경기도
코스닥,  위세아이텍 ,065370,소프트웨어 개발 및 공급업,"빅데이터분석, 인공지능, 데이터품질관리 솔루션",2020-02-10,12월,김다산..,http://www.wise.co.kr,경기도
유가증권,  케이씨씨글라스 ,344820,유리 및 유리제품 제조업,판유리 등,2020-01-21,12월,정몽익..,http://www.kccglass.co.kr,서울특별시
코스닥,  세림B&G ,340440,플라스틱제품 제조업,기업인수,2019-12-27,12월,나상수,,경기도
코넥스,  이앤에치 ,341310,기타 섬유제품 제조업,"미세먼지용 HEPA 소재, 차량용 캐빈필터소재, 마스크용 소재",2019-12-27,12월,김정운..,http://www.hepabest.com,경기도
코스닥,  CJ 바이오사이언스 ,311690,자연과학 및 공학 연구개발업,"생명정보 플랫폼, 마이크로바이옴 분석 서비스",2019-12-26,12월,천종식,http://www.cjbioscience.com,서울특별시
코넥스,  엔에스엠 ,238170,합성고무 및 플라스틱 물질 제조업,전도성 고분자 코팅 대전방지 필름,2019-12-26,12월,여건수,http://www.nsmcc.com,경기도
코스닥,  피피아이 ,062970,통신 및 방송 장비 제조업,"데이터센터용 AWG, 통신용 AWG, 스플리터, 계측기 등",2019-12-26,12월,김진봉,http://www.ppitek.com,광주광역시
코스닥,  RF머트리얼즈 ,327260,전자부품 제조업,"광통신, RF통신용 패키지",2019-12-24,12월,남동우,http://www.rf-materials.com,경기도
코스닥,  아이비김영 ,339950,일반 교습 학원,"오프라인 학원, 온라인강의",2019-12-24,12월,김석철,http://www.kimyoung.co.kr,서울특별시
코스닥,  브릿지바이오 ,288330,기초 의약물질 제조업,"펠리노-1 단백질 저해제, 오토택신 저해제",2019-12-20,12월,이정규,http://www.bridgebiorx.com,경기도
코스닥,  다보링크 ,340360,통신 및 방송 장비 제조업,"AP, APController 외",2019-12-19,12월,임상현,http://www.davolink.co.kr,경기도
코스닥,  메드팩토 ,235980,자연과학 및 공학 연구개발업,항암제 신약개발,2019-12-19,12월,김성진,http://www.medpacto.com,서울특별시
"코스닥, KOSDAQ150, KRX300",  원텍   ,336570,의료용 기기 제조업,기업 인수 및 합병,2019-12-19,12월,김종원..,,대전광역시
